part,char,n
1,Andrei,4
1,Pierre,8
1,Natasha,3
2,Andrei,10
2,Pierre,0
2,Natasha,0
3,Andrei,8
3,Pierre,13
3,Natasha,1
4,Andrei,2
4,Pierre,4
4,Natasha,15
5,Andrei,2
5,Pierre,18
5,Natasha,1
6,Andrei,19
6,Pierre,7
6,Natasha,19
7,Andrei,0
7,Pierre,0
7,Natasha,15
8,Andrei,2
8,Pierre,5
8,Natasha,13
9,Andrei,4
9,Pierre,4
9,Natasha,10
10,Andrei,9
10,Pierre,8
10,Natasha,0
11,Andrei,3
11,Pierre,9
11,Natasha,11
12,Andrei,3
12,Pierre,2
12,Natasha,5
13,Andrei,1
13,Pierre,6
13,Natasha,0
14,Andrei,0
14,Pierre,6
14,Natasha,0
15,Andrei,0
15,Pierre,20
15,Natasha,13
16,Andrei,0
16,Pierre,18
16,Natasha,7
17,Andrei,0
17,Pierre,0
17,Natasha,0
